event,RMSE,MSE,MAE,WAE,time
uGauss2_AMORE::train_ADAPTgd_01,7.4794,55.942,5.8061,21.6317,0.07
uGauss2_AMORE::train_ADAPTgd_02,8.1969,67.1896,6.0059,25.268,0.06
uGauss2_AMORE::train_ADAPTgd_03,8.4704,71.7471,6.3703,24.2961,0.05
uGauss2_AMORE::train_ADAPTgd_04,7.5072,56.358,5.768,23.5829,0.05
uGauss2_AMORE::train_ADAPTgd_05,8.5422,72.9691,6.4164,23.913,0.04
uGauss2_AMORE::train_ADAPTgdwm_01,9.8804,97.6231,6.6054,31.7942,0.06
uGauss2_AMORE::train_ADAPTgdwm_02,10.8645,118.0375,6.7805,38.6497,0.06
uGauss2_AMORE::train_ADAPTgdwm_03,10.8293,117.274,6.7341,38.572,0.08
uGauss2_AMORE::train_ADAPTgdwm_04,10.4646,109.5084,6.5246,38.9215,0.07
uGauss2_AMORE::train_ADAPTgdwm_05,4.3864,19.2406,3.3319,15.1157,0.07
uGauss2_AMORE::train_BATCHgd_01,9.1582,83.8717,6.6562,26.7404,1.56
uGauss2_AMORE::train_BATCHgd_02,9.9053,98.1147,7.25,29.9875,1.57
uGauss2_AMORE::train_BATCHgd_03,9.7638,95.3309,7.1783,28.5231,1.54
uGauss2_AMORE::train_BATCHgd_04,9.7976,95.9932,7.1977,29.44,1.55
uGauss2_AMORE::train_BATCHgd_05,9.2667,85.871,6.7561,26.4822,1.54
uGauss2_AMORE::train_BATCHgdwm_01,9.7704,95.4613,7.1668,29.419,1.6
uGauss2_AMORE::train_BATCHgdwm_02,9.219,84.99,6.7259,26.6399,1.58
uGauss2_AMORE::train_BATCHgdwm_03,9.4697,89.6744,6.9325,27.9673,1.58
uGauss2_AMORE::train_BATCHgdwm_04,9.3386,87.2099,6.8559,27.9676,1.56
uGauss2_AMORE::train_BATCHgdwm_05,9.6691,93.4907,7.0488,29.6131,1.57
uGauss2_ANN2::neuralnetwork_sgd_01,8.3914,70.4151,6.347,25.4482,0.06
uGauss2_ANN2::neuralnetwork_sgd_02,8.4063,70.666,6.3673,25.3806,0.08
uGauss2_ANN2::neuralnetwork_sgd_03,7.4578,55.6182,5.7629,22.083,0.07
uGauss2_ANN2::neuralnetwork_sgd_04,7.9545,63.2741,6.0322,23.2425,0.08
uGauss2_ANN2::neuralnetwork_sgd_05,8.5984,73.9318,6.4364,26.0502,0.1
