"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.036,0.3082,0.3271,0.0189,0.2829,0.7263,1
"AMORE::train_ADAPTgdwm",0.054,0.2197,0.2765,0.0568,0.2204,0.6575,2
"AMORE::train_BATCHgd",1.78,0.2023,0.2922,0.0899,0.2393,0.6802,3
"AMORE::train_BATCHgdwm",1.804,0.3265,0.3274,0.000900000000000012,0.2853,0.7289,4
"ANN2::neuralnetwork_adam",0.012,0.2198,0.2274,0.0076,0.1806,0.5242,5
"ANN2::neuralnetwork_rmsprop",0.016,0.2345,0.2495,0.015,0.1926,0.604,6
"ANN2::neuralnetwork_sgd",0.014,0.2581,0.3342,0.0761,0.2899,0.6824,7
"automl::automl_train_manual_trainwgrad_adam",1.262,0.0596,0.1157,0.0561,0.0741,0.506,8
"automl::automl_train_manual_trainwgrad_RMSprop",1.128,0.1052,0.1595,0.0543,0.1323,0.3299,9
"automl::automl_train_manual_trainwpso",6.964,0.2424,0.2517,0.00929999999999997,0.1929,0.6461,10
"brnn::brnn_Gauss-Newton",0.01,0.0451,0.5884,0.5433,0.5069,1.0104,11
"CaDENCE::cadence.fit_optim",2.442,0.0564,0.2112,0.1548,0.1061,0.6888,12
"CaDENCE::cadence.fit_psoptim",5.378,0.3096,0.319,0.00940000000000002,0.2672,0.7427,13
"CaDENCE::cadence.fit_Rprop",6.654,0.2005,0.4116,0.2111,0.3162,0.8665,14
"caret::avNNet_none",0.03,0.0535,0.0948,0.0413,0.0602,0.3176,15
"deepdive::deepnet_adam",0.568,0.1178,0.1178,0,0.0797,0.4868,16
"deepdive::deepnet_gradientDescent",5.34,0.3353,0.3353,0,0.2912,0.7067,17
"deepdive::deepnet_momentum",5.524,0.332,0.332,0,0.2891,0.7441,18
"deepdive::deepnet_rmsProp",0.584,0.1728,0.1728,0,0.1257,0.4478,19
"deepnet::nn.train_BP",0.094,0.0582,0.1173,0.0591,0.0845,0.3896,20
"elmNNRcpp::elm_train_extremeML",0,0.332,0.3623,0.0303,0.3038,0.8727,21
"ELMR::OSelm_train.formula_extremeML",0,0.3003,0.3082,0.00789999999999996,0.2529,0.7867,22
"EnsembleBase::Regression.Batch.Fit_none",0.004,0.0733,0.1033,0.03,0.0759,0.4193,23
"h2o::h2o.deeplearning_first-order",3.346,0.048,0.0494,0.0014,0.0402,0.1185,24
"keras::fit_adadelta",23.966,0.2314,0.2333,0.00190000000000001,0.1843,0.5698,25
"keras::fit_adagrad",8.322,0.2252,0.3529,0.1277,0.3037,0.8099,26
"keras::fit_adam",2.576,0.1376,0.1811,0.0435,0.1461,0.4721,27
"keras::fit_adamax",4.566,0.0883,0.224,0.1357,0.1782,0.5854,28
"keras::fit_nadam",2.242,0.1786,0.2607,0.0821,0.2055,0.6971,29
"keras::fit_rmsprop",1.326,0.2375,0.38,0.1425,0.2964,0.8503,30
"keras::fit_sgd",2.644,0.2044,0.3548,0.1504,0.2992,0.8224,31
"MachineShop::fit_none",0.012,0.0442,0.0456,0.0014,0.0365,0.1181,32
"minpack.lm::nlsLM_none",0.038,0.0445,0.0445,0,0.0362,0.1153,33
"monmlp::monmlp.fit_BFGS",0.208,0.0919,0.0983,0.0064,0.075,0.3693,34
"monmlp::monmlp.fit_Nelder-Mead",0.428,0.1381,0.2639,0.1258,0.2153,0.6177,35
"neuralnet::neuralnet_backprop",0.49,0.1521,0.1699,0.0178,0.128,0.5924,36
"neuralnet::neuralnet_rprop-",0.03,0.1634,0.175,0.0116,0.137,0.5212,37
"neuralnet::neuralnet_rprop+",0.042,0.1086,0.1639,0.0553,0.1319,0.5153,38
"neuralnet::neuralnet_sag",1.43,0.0583,0.1315,0.0732,0.1061,0.3669,39
"neuralnet::neuralnet_slr",0.1,0.0839,0.1213,0.0374,0.0922,0.3196,40
"nlsr::nlxb_none",0.088,0.0433,0.0433,0,0.0349,0.1063,41
"nnet::nnet_none",0.008,0.0437,0.0865,0.0428,0.0636,0.3435,42
"qrnn::qrnn.fit_none",0.23,0.1162,0.1349,0.0187,0.083,0.6014,43
"radiant.model::nn_none",0.026,0.08,0.1088,0.0288,0.0817,0.3346,44
"rminer::fit_none",0.03,0.0449,0.0495,0.0046,0.0418,0.1258,45
"RSNNS::mlp_BackpropBatch",0.874,0.2568,0.3344,0.0776,0.287,0.7691,46
"RSNNS::mlp_BackpropChunk",0.14,0.1298,0.1448,0.015,0.1073,0.5245,47
"RSNNS::mlp_BackpropMomentum",0.088,0.1445,0.1647,0.0202,0.1252,0.58,48
"RSNNS::mlp_BackpropWeightDecay",0.09,0.1314,0.1656,0.0342,0.1218,0.5395,49
"RSNNS::mlp_Quickprop",0.938,0.5775,0.5884,0.0109,0.5068,1.0104,50
"RSNNS::mlp_Rprop",0.09,0.1232,0.1401,0.0169,0.1048,0.4453,51
"RSNNS::mlp_SCG",0.14,0.097,0.1118,0.0148,0.0916,0.428,52
"RSNNS::mlp_Std_Backpropagation",0.094,0.1215,0.2226,0.1011,0.1736,0.5618,53
"snnR::snnR_none",0.04,0.2927,0.2927,0,0.2512,0.6561,54
"traineR::train.nnet_none",0.004,0.041,0.047,0.006,0.0393,0.1293,55
"validann::ann_BFGS",0.79,0.0435,0.0725,0.029,0.054,0.181,56
"validann::ann_CG",29.066,0.0506,0.0679,0.0173,0.0544,0.1577,57
"validann::ann_L-BFGS-B",0.88,0.0489,0.109,0.0601,0.0759,0.4093,58
"validann::ann_Nelder-Mead",28.208,0.1034,0.181,0.0776,0.1538,0.4017,59
"validann::ann_SANN",0.128,0.2296,0.3046,0.075,0.2441,0.6614,60
